invoicenumber,servicedate,financialperiod,custid,custname,siteid,sitename,addr1,addr2,city,postcode,wastetype,descr,wastedescription,ewccode,disposalmode,disposalmodedesc,qty,kgs,tonnes,costs
0001158334,02/10/2017 0:00,201710,9002457,Layer 9,002       ,Community Hospital  ,Martell Road,                              ,London,SE218EN,NULL,HWCN-AdministrationFee        ,NULL,NULL,NULL,NULL,1,0.00 ,0.000 ,£5.00
0001158334,02/10/2017 0:00,201710,9002457,Layer 9,002       ,Community Hospital  ,Martell Road,                              ,London,SE218EN,NULL,HWCN-Req for Waste Disposal   ,NULL,NULL,NULL,NULL,1,0.00 ,0.000 ,£5.00
0001158334,02/10/2017 0:00,201710,9002457,Layer 9,002       ,Community Hospital  ,Martell Road,                              ,London,SE218EN,HL,770 L Bin,NON-HAZARDOUS HEALTHCARE WASTE,18 01 04,D1 ,Other Tonnes,2,120.00 ,0.120 ,£31.30
0001158334,02/10/2017 0:00,201710,9002457,Layer 9,002       ,Community Hospital  ,Martell Road,                              ,London,SE218EN,HT,770 L Bin,INFECTIOUS HEALTHCARE FOR ALTERNATIVE TREATMENT,18 01 03,D09,AT Tonnes,2,90.00 ,0.090 ,£50.40
0001158334,04/10/2017 0:00,201710,9002457,Layer 9,002       ,Community Hospital  ,Martell Road,                              ,London,SE218EN,NULL,HWCN-AdministrationFee        ,NULL,NULL,NULL,NULL,1,0.00 ,0.000 ,£5.00
0001158334,04/10/2017 0:00,201710,9002457,Layer 9,002       ,Community Hospital  ,Martell Road,                              ,London,SE218EN,NULL,HWCN-Req for Waste Disposal   ,NULL,NULL,NULL,NULL,1,0.00 ,0.000 ,£5.00
0001158334,04/10/2017 0:00,201710,9002457,Layer 9,002       ,Community Hospital  ,Martell Road,                              ,London,SE218EN,HL,770 L Bin,NON-HAZARDOUS HEALTHCARE WASTE,18 01 04,D1 ,Other Tonnes,1,47.60 ,0.048 ,£15.65
0001158334,04/10/2017 0:00,201710,9002457,Layer 9,002       ,Community Hospital  ,Martell Road,                              ,London,SE218EN,HT,770 L Bin,INFECTIOUS HEALTHCARE FOR ALTERNATIVE TREATMENT,18 01 03,D09,AT Tonnes,1,49.00 ,0.049 ,£25.20
0001158334,06/10/2017 0:00,201710,9002457,Layer 9,002       ,Community Hospital  ,Martell Road,                              ,London,SE218EN,NULL,HWCN-AdministrationFee        ,NULL,NULL,NULL,NULL,1,0.00 ,0.000 ,£5.00
0001158334,06/10/2017 0:00,201710,9002457,Layer 9,002       ,Community Hospital  ,Martell Road,                              ,London,SE218EN,NULL,HWCN-Req for Waste Disposal   ,NULL,NULL,NULL,NULL,1,0.00 ,0.000 ,£5.00
0001158334,06/10/2017 0:00,201710,9002457,Layer 9,002       ,Community Hospital  ,Martell Road,                              ,London,SE218EN,HL,770 L Bin,NON-HAZARDOUS HEALTHCARE WASTE,18 01 04,D1 ,Other Tonnes,1,42.00 ,0.042 ,£15.65
0001158334,06/10/2017 0:00,201710,9002457,Layer 9,002       ,Community Hospital  ,Martell Road,                              ,London,SE218EN,HT,770 L Bin,INFECTIOUS HEALTHCARE FOR ALTERNATIVE TREATMENT,18 01 03,D09,AT Tonnes,1,33.40 ,0.033 ,£25.20
0001158334,09/10/2017 0:00,201710,9002457,Layer 9,002       ,Community Hospital  ,Martell Road,                              ,London,SE218EN,NULL,HWCN-AdministrationFee        ,NULL,NULL,NULL,NULL,1,0.00 ,0.000 ,£5.00
0001158334,09/10/2017 0:00,201710,9002457,Layer 9,002       ,Community Hospital  ,Martell Road,                              ,London,SE218EN,NULL,HWCN-Req for Waste Disposal   ,NULL,NULL,NULL,NULL,1,0.00 ,0.000 ,£5.00
0001158334,09/10/2017 0:00,201710,9002457,Layer 9,002       ,Community Hospital  ,Martell Road,                              ,London,SE218EN,HL,770 L Bin,NON-HAZARDOUS HEALTHCARE WASTE,18 01 04,D1 ,Other Tonnes,1,40.00 ,0.040 ,£15.65
0001158334,09/10/2017 0:00,201710,9002457,Layer 9,002       ,Community Hospital  ,Martell Road,                              ,London,SE218EN,HT,770 L Bin,INFECTIOUS HEALTHCARE FOR ALTERNATIVE TREATMENT,18 01 03,D09,AT Tonnes,1,39.00 ,0.039 ,£25.20
0001158334,11/10/2017 0:00,201710,9002457,Layer 9,002       ,Community Hospital  ,Martell Road,                              ,London,SE218EN,NULL,HWCN-AdministrationFee        ,NULL,NULL,NULL,NULL,1,0.00 ,0.000 ,£5.00
