"invoicenumber","servicedate","financialperiod","custid","custname","siteid","sitename","addr1","addr2","city","postcode","wastetype","descr","wastedescription","ewccode","disposalmode","disposalmodedesc","qty","kgs","tonnes","costs"
"0001158334","10/2/2017 0:00","201710","9002457","Layer 9","002       ","Community Hospital  ","Martell Road","                              ","London","SE218EN","NULL","HWCN-AdministrationFee        ","NULL","NULL","NULL","NULL","1","0.00 ","0.000 ","£5.00"
"0001158334","10/2/2017 0:00","201710","9002457","Layer 9","002       ","Community Hospital  ","Martell Road","                              ","London","SE218EN","NULL","HWCN-Req for Waste Disposal   ","NULL","NULL","NULL","NULL","1","0.00 ","0.000 ","£5.00"
"0001158334","10/2/2017 0:00","201710","9002457","Layer 9","002       ","Community Hospital  ","Martell Road","                              ","London","SE218EN","HL","770 L Bin","NON-HAZARDOUS HEALTHCARE WASTE","18 01 04","D1 ","Other Tonnes","2","120.00 ","0.120 ","£31.30"
"0001158334","10/2/2017 0:00","201710","9002457","Layer 9","002       ","Community Hospital  ","Martell Road","                              ","London","SE218EN","HT","770 L Bin","INFECTIOUS HEALTHCARE FOR ALTERNATIVE TREATMENT","18 01 03","D09","AT Tonnes","2","90.00 ","0.090 ","£50.40"
"0001158334","10/4/2017 0:00","201710","9002457","Layer 9","002       ","Community Hospital  ","Martell Road","                              ","London","SE218EN","NULL","HWCN-AdministrationFee        ","NULL","NULL","NULL","NULL","1","0.00 ","0.000 ","£5.00"
"0001158334","10/4/2017 0:00","201710","9002457","Layer 9","002       ","Community Hospital  ","Martell Road","                              ","London","SE218EN","NULL","HWCN-Req for Waste Disposal   ","NULL","NULL","NULL","NULL","1","0.00 ","0.000 ","£5.00"
"0001158334","10/4/2017 0:00","201710","9002457","Layer 9","002       ","Community Hospital  ","Martell Road","                              ","London","SE218EN","HL","770 L Bin","NON-HAZARDOUS HEALTHCARE WASTE","18 01 04","D1 ","Other Tonnes","1","47.60 ","0.048 ","£15.65"
"0001158334","10/4/2017 0:00","201710","9002457","Layer 9","002       ","Community Hospital  ","Martell Road","                              ","London","SE218EN","HT","770 L Bin","INFECTIOUS HEALTHCARE FOR ALTERNATIVE TREATMENT","18 01 03","D09","AT Tonnes","1","49.00 ","0.049 ","£25.20"
"0001158334","10/6/2017 0:00","201710","9002457","Layer 9","002       ","Community Hospital  ","Martell Road","                              ","London","SE218EN","NULL","HWCN-AdministrationFee        ","NULL","NULL","NULL","NULL","1","0.00 ","0.000 ","£5.00"
"0001158334","10/6/2017 0:00","201710","9002457","Layer 9","002       ","Community Hospital  ","Martell Road","                              ","London","SE218EN","NULL","HWCN-Req for Waste Disposal   ","NULL","NULL","NULL","NULL","1","0.00 ","0.000 ","£5.00"
"0001158334","10/6/2017 0:00","201710","9002457","Layer 9","002       ","Community Hospital  ","Martell Road","                              ","London","SE218EN","HL","770 L Bin","NON-HAZARDOUS HEALTHCARE WASTE","18 01 04","D1 ","Other Tonnes","1","42.00 ","0.042 ","£15.65"
"0001158334","10/6/2017 0:00","201710","9002457","Layer 9","002       ","Community Hospital  ","Martell Road","                              ","London","SE218EN","HT","770 L Bin","INFECTIOUS HEALTHCARE FOR ALTERNATIVE TREATMENT","18 01 03","D09","AT Tonnes","1","33.40 ","0.033 ","£25.20"
"0001158334","10/9/2017 0:00","201710","9002457","Layer 9","002       ","Community Hospital  ","Martell Road","                              ","London","SE218EN","NULL","HWCN-AdministrationFee        ","NULL","NULL","NULL","NULL","1","0.00 ","0.000 ","£5.00"
"0001158334","10/9/2017 0:00","201710","9002457","Layer 9","002       ","Community Hospital  ","Martell Road","                              ","London","SE218EN","NULL","HWCN-Req for Waste Disposal   ","NULL","NULL","NULL","NULL","1","0.00 ","0.000 ","£5.00"
"0001158334","10/9/2017 0:00","201710","9002457","Layer 9","002       ","Community Hospital  ","Martell Road","                              ","London","SE218EN","HL","770 L Bin","NON-HAZARDOUS HEALTHCARE WASTE","18 01 04","D1 ","Other Tonnes","1","40.00 ","0.040 ","£15.65"
"0001158334","10/9/2017 0:00","201710","9002457","Layer 9","002       ","Community Hospital  ","Martell Road","                              ","London","SE218EN","HT","770 L Bin","INFECTIOUS HEALTHCARE FOR ALTERNATIVE TREATMENT","18 01 03","D09","AT Tonnes","1","39.00 ","0.039 ","£25.20"
"0001158334","10/11/2017 0:00","201710","9002457","Layer 9","002       ","Community Hospital  ","Martell Road","                              ","London","SE218EN","NULL","HWCN-AdministrationFee        ","NULL","NULL","NULL","NULL","1","0.00 ","0.000 ","£5.00"
"0001158334","10/11/2017 0:00","201710","9002457","Layer 9","002       ","Community Hospital  ","Martell Road","                              ","London","SE218EN","NULL","HWCN-Req for Waste Disposal   ","NULL","NULL","NULL","NULL","1","0.00 ","0.000 ","£5.00"
"0001158334","10/11/2017 0:00","201710","9002457","Layer 9","002       ","Community Hospital  ","Martell Road","                              ","London","SE218EN","HL","770 L Bin","NON-HAZARDOUS HEALTHCARE WASTE","18 01 04","D1 ","Other Tonnes","2","86.80 ","0.087 ","£31.30"
"0001158334","10/11/2017 0:00","201710","9002457","Layer 9","002       ","Community Hospital  ","Martell Road","                              ","London","SE218EN","HT","770 L Bin","INFECTIOUS HEALTHCARE FOR ALTERNATIVE TREATMENT","18 01 03","D09","AT Tonnes","1","47.20 ","0.047 ","£25.20"
"0001158334","10/16/2017 0:00","201710","9002457","Layer 9","002       ","Community Hospital  ","Martell Road","                              ","London","SE218EN","NULL","HWCN-AdministrationFee        ","NULL","NULL","NULL","NULL","1","0.00 ","0.000 ","£5.00"
"0001158334","10/16/2017 0:00","201710","9002457","Layer 9","002       ","Community Hospital  ","Martell Road","                              ","London","SE218EN","NULL","HWCN-Req for Waste Disposal   ","NULL","NULL","NULL","NULL","1","0.00 ","0.000 ","£5.00"
"0001158334","10/16/2017 0:00","201710","9002457","Layer 9","002       ","Community Hospital  ","Martell Road","                              ","London","SE218EN","HL","770 L Bin","NON-HAZARDOUS HEALTHCARE WASTE","18 01 04","D1 ","Other Tonnes","2","101.90 ","0.102 ","£31.30"
"0001158334","10/16/2017 0:00","201710","9002457","Layer 9","002       ","Community Hospital  ","Martell Road","                              ","London","SE218EN","HT","770 L Bin","INFECTIOUS HEALTHCARE FOR ALTERNATIVE TREATMENT","18 01 03","D09","AT Tonnes","2","81.40 ","0.081 ","£50.40"
"0001158334","10/18/2017 0:00","201710","9002457","Layer 9","002       ","Community Hospital  ","Martell Road","                              ","London","SE218EN","NULL","HWCN-AdministrationFee        ","NULL","NULL","NULL","NULL","1","0.00 ","0.000 ","£5.00"
"0001158334","10/18/2017 0:00","201710","9002457","Layer 9","002       ","Community Hospital  ","Martell Road","                              ","London","SE218EN","NULL","HWCN-Req for Waste Disposal   ","NULL","NULL","NULL","NULL","1","0.00 ","0.000 ","£5.00"
"0001158334","10/18/2017 0:00","201710","9002457","Layer 9","002       ","Community Hospital  ","Martell Road","                              ","London","SE218EN","HL","770 L Bin","NON-HAZARDOUS HEALTHCARE WASTE","18 01 04","D1 ","Other Tonnes","2","90.00 ","0.090 ","£31.30"
"0001158334","10/18/2017 0:00","201710","9002457","Layer 9","002       ","Community Hospital  ","Martell Road","                              ","London","SE218EN","HS","770 L Bin","INFECTIOUS HEALTHCARE SHARPS - INCINERATE","18 01 03 / 18 01 09","D10","Incineration Tonnes","1","58.20 ","0.058 ","£35.35"
"0001158334","10/18/2017 0:00","201710","9002457","Layer 9","002       ","Community Hospital  ","Martell Road","                              ","London","SE218EN","HT","770 L Bin","INFECTIOUS HEALTHCARE FOR ALTERNATIVE TREATMENT","18 01 03","D09","AT Tonnes","2","61.40 ","0.061 ","£50.40"
